1:0:1:4E48:C85:3:EB0000:0:0:0:	CineStar TV
1:0:1:4E49:C85:3:EB0000:0:0:0:	CineStar TV Action & Thriller
1:0:1:4E4B:C85:3:EB0000:0:0:0:	CineStar TV Comedy &Family
1:0:1:4E4A:C85:3:EB0000:0:0:0:	CineStar TV Fantasy
1:0:1:77BE:40A:1:C00000:0:0:0:	CLAN  TVE
1:0:1:7602:408:1:C00000:0:0:0:	CLASSICA
1:0:16:18:4:85:C00000:0:0:0:	Classica
1:0:1:3161:459:1:C00000:0:0:0:	Clipmobile
1:0:19:22C5:434:1:C00000:0:0:0:	CLIQUE TV
1:0:1:272E:402:1:C00000:0:0:0:	CNBC Europe
1:0:19:2336:442:1:C00000:0:0:0:	CNEWS
1:0:1:4EC5:CA4:3:EB0000:0:0:0:	CNN
1:0:1:1146:404:1:C00000:0:0:0:	CNN Int.
1:0:19:24C5:43C:1:C00000:0:0:0:	COLMAX TV
1:0:16:11DA:406:1:C00000:0:0:0:	Colors
1:0:1F:1771:423:1:C00000:0:0:0:	Colors
1:0:19:196C:44E:1:C00000:0:0:0:	COMEDIE+
1:0:1:76C8:40E:1:C00000:0:0:0:	COMEDY CENTRAL
1:0:16:36F8:C8C:3:EB0000:0:0:0:	Comedy Central
1:0:1:3C:7:85:C00000:0:0:0:	Comedy Central / VIVA AT
1:0:1:7004:436:1:C00000:0:0:0:	Comedy Central/VIVA
1:0:19:78C0:3EC:1:C00000:0:0:0:	COMEDYCENTRALHD
1:0:1:75D9:422:1:C00000:0:0:0:	CONTRATO
1:0:1:7730:416:1:C00000:0:0:0:	COSMO
1:0:19:78B8:3EC:1:C00000:0:0:0:	COSMO HD
1:0:1:7732:416:1:C00000:0:0:0:	CRIMEN+INVES
1:0:16:36EA:C8C:3:EB0000:0:0:0:	CS Film/CS Mini
1:0:19:2335:442:1:C00000:0:0:0:	CSTAR
1:0:19:24C2:43C:1:C00000:0:0:0:	CSTAR HITS FRANCE
1:0:19:1F41:CA1:3:EB0000:0:0:0:	CT 1 HD
1:0:19:1F48:CA1:3:EB0000:0:0:0:	CT 1 JM HD
1:0:19:1F47:CA1:3:EB0000:0:0:0:	CT 1 SM HD
1:0:19:1F42:CA1:3:EB0000:0:0:0:	CT 2 HD
1:0:19:1F43:CA1:3:EB0000:0:0:0:	CT 24 HD
1:0:19:1F45:CA1:3:EB0000:0:0:0:	CT :D/art HD
1:0:19:1F44:CA1:3:EB0000:0:0:0:	CT sport HD
1:0:1:77C7:40A:1:C00000:0:0:0:	CUATRO
1:0:19:7535:426:1:C00000:0:0:0:	CUATRO HD
1:0:1:1B60:3FC:1:C00000:0:0:0:	Cubavision Internacional
1:0:1:4EA7:CA4:3:EB0000:0:0:0:	Da Vinci Learning
1:0:19:3397:C89:3:EB0000:0:0:0:	DAJTO HD
1:0:1:6DCA:44D:1:C00000:0:0:0:	Das Erste
1:0:19:283D:3FB:1:C00000:0:0:0:	Das Erste HD
1:0:1:314F:459:1:C00000:0:0:0:	DateLine
1:0:19:84:9:85:C00000:0:0:0:	DAZN 1 Bar HD
1:0:19:7A:10:85:C00000:0:0:0:	DAZN 2 Bar HD
1:0:1:4E30:C8B:3:EB0000:0:0:0:	Decija TV
1:0:1:41:7:85:C00000:0:0:0:	DELUXE MUSIC
1:0:19:157F:41F:1:C00000:0:0:0:	Deluxe Music HD
1:0:19:1589:41F:1:C00000:0:0:0:	Deluxe Music HD Austria
1:0:1:3147:459:1:C00000:0:0:0:	Deutsche Girls 24 TV 
1:0:1:313C:459:1:C00000:0:0:0:	Deutsches Musik Fernsehen
1:0:16:1081:3EE:1:C00000:0:0:0:	Deutschland Vozrozhdenie
1:0:16:1269:3F7:1:C00000:0:0:0:	Die Neue Zeit TV
1:0:1:772F:416:1:C00000:0:0:0:	DISCOVERY
1:0:1:4E98:C86:3:EB0000:0:0:0:	Discovery Channel
1:0:16:17D1:C82:3:EB0000:0:0:0:	Discovery Channel
1:0:16:13C0:C95:3:EB0000:0:0:0:	Discovery CZ
1:0:19:82:6:85:C00000:0:0:0:	Discovery HD
1:0:1:4EA6:CA4:3:EB0000:0:0:0:	Discovery Showcase HD
1:0:19:13C4:C95:3:EB0000:0:0:0:	Discovery Showcase HD
1:0:19:13B5:C95:3:EB0000:0:0:0:	Discovery Showcase HD CZ
1:0:19:788B:414:1:C00000:0:0:0:	DISNEY CH HD
1:0:1:76C3:40E:1:C00000:0:0:0:	DISNEY CH.
1:0:1:701:5:85:C00000:0:0:0:	Disney Channel
1:0:16:17B1:C82:3:EB0000:0:0:0:	Disney Channel
1:0:19:232F:442:1:C00000:0:0:0:	DISNEY CHANNEL
1:0:19:157C:41F:1:C00000:0:0:0:	Disney Channel HD
1:0:19:1586:41F:1:C00000:0:0:0:	Disney Channel HD Austria
1:0:19:24C0:43C:1:C00000:0:0:0:	DISNEY CHANNEL+1
1:0:19:24BA:43C:1:C00000:0:0:0:	DISNEY CINEMA
